working_hours,tasks_completed,breaks,satisfaction,burnout_risk
41,36,4,7,0
58,28,2,9,1
49,43,6,5,0
45,34,6,6,0
52,17,4,10,1
57,17,3,2,1
46,23,4,3,1
40,20,6,3,0
54,39,2,9,1
57,27,6,7,0
64,35,2,8,1
47,16,1,10,1
54,22,5,9,0
50,35,6,6,0
52,16,4,4,1
44,18,1,1,0
62,39,5,8,0
57,29,4,7,1
42,18,3,2,0
52,27,4,8,1
55,42,2,5,1
35,26,2,7,0
57,42,3,4,1
42,27,1,5,0
63,28,5,8,0
40,34,4,1,0
39,32,2,1,0
49,43,1,4,1
56,42,3,3,1
49,20,6,10,0
36,43,2,2,0
35,25,3,3,0
57,44,4,1,1
57,16,5,1,0
60,42,2,6,1
45,37,2,5,0
44,33,4,8,0
64,33,6,2,0
52,19,1,4,1
52,33,5,8,0
51,16,2,6,1
60,24,5,1,0
42,39,2,4,0
49,16,5,1,0
42,44,3,2,0
51,25,2,5,1
46,32,5,8,0
61,43,1,8,1
42,38,3,3,0
59,29,3,4,1
48,23,1,10,1
38,37,5,6,0
35,33,4,10,0
35,23,1,3,0
53,17,5,2,0
50,35,1,6,1
48,23,1,5,1
55,42,2,10,1
50,44,5,5,0
39,28,4,10,0
43,33,2,5,0
60,21,1,10,1
64,30,6,5,0
62,30,1,3,2
36,42,1,7,0
52,15,5,6,0
40,18,5,4,0
43,18,2,2,0
35,21,4,9,0
43,22,2,1,0
59,31,3,4,1
50,19,1,1,1
47,21,6,6,0
43,42,1,4,0
55,34,1,5,1
47,43,2,5,1
43,34,6,9,0
45,18,6,1,0
38,42,6,2,0
36,20,2,6,0
63,21,1,5,1
40,32,2,7,0
48,19,5,3,0
38,34,5,3,0
40,44,2,10,0
53,43,6,2,0
40,17,1,3,0
36,21,2,10,0
52,41,2,1,1
47,42,2,5,1
43,36,3,5,0
57,28,5,7,0
53,21,6,4,0
47,19,4,3,1
45,43,6,1,0
35,36,4,8,0
58,19,3,3,1
64,44,2,2,2
56,37,3,4,1
41,16,3,3,0
59,44,1,1,2
55,41,5,3,0
49,35,4,2,1
35,36,2,8,0
46,20,4,6,1
60,29,6,9,0
41,35,4,8,0
49,24,6,10,0
55,37,5,3,0
53,40,6,5,0
62,38,4,7,1
63,21,4,5,1
59,19,6,8,0
35,15,3,5,0
51,27,5,1,0
51,35,1,5,1
37,40,2,4,0
46,32,4,6,1
40,27,2,3,0
60,35,1,5,1
45,35,2,2,0
37,32,1,6,0
42,19,6,6,0
48,27,3,5,1
48,18,4,6,1
44,31,1,7,0
36,17,2,5,0
48,31,4,1,1
43,42,3,8,0
37,25,6,4,0
55,35,4,9,1
60,34,1,10,1
42,37,3,6,0
50,35,2,1,1
36,40,3,3,0
40,44,3,3,0
62,18,5,10,0
55,16,3,4,1
63,34,3,6,1
60,30,4,7,1
59,42,2,10,1
46,32,4,4,1
39,22,4,6,0
36,17,1,1,0
50,23,4,8,1
39,43,5,7,0
49,34,5,9,0
46,43,1,3,1
38,20,6,2,0
49,24,2,1,1
45,35,2,3,0
50,24,4,5,1
57,27,4,2,1
40,31,6,3,0
48,23,4,4,1
52,31,2,7,1
46,38,3,3,1
61,23,5,9,0
45,23,3,8,0
47,15,3,4,1
55,16,2,1,1
57,42,3,1,1
45,30,6,1,0
57,43,1,1,2
50,15,4,8,1
49,24,1,3,1
55,32,5,6,0
62,40,4,3,1
49,42,3,5,1
59,22,5,7,0
38,35,4,2,0
45,42,6,6,0
53,25,6,6,0
49,37,6,3,0
38,16,6,6,0
55,22,3,10,1
47,41,1,10,1
56,36,4,5,1
53,22,3,2,1
36,31,6,9,0
48,29,1,8,1
63,31,5,3,0
38,42,5,8,0
50,37,5,9,0
55,38,6,3,0
54,27,5,3,0
48,33,2,2,1
61,19,4,8,1
63,26,4,10,1
49,15,6,1,0
62,37,2,8,1
37,19,3,7,0
42,22,3,7,0
50,27,5,3,0
44,22,1,1,0
38,39,3,4,0
64,37,1,9,1
39,43,2,8,0
35,33,5,7,0
49,36,4,10,1
39,33,1,8,0
47,24,6,3,0
42,26,4,6,0
42,36,4,7,0
39,18,2,10,0
62,32,2,1,2
43,30,2,1,0
35,22,4,7,0
38,18,1,3,0
37,39,2,3,0
36,37,3,5,0
42,26,1,6,0
57,16,3,2,1
43,18,1,3,0
36,19,2,6,0
48,17,6,3,0
48,23,5,5,0
38,43,2,9,0
64,35,4,3,1
40,32,6,6,0
45,25,4,5,0
37,17,1,5,0
42,44,4,6,0
37,39,6,6,0
48,37,6,1,0
62,16,2,9,1
47,23,3,5,1
47,28,2,1,1
36,18,1,8,0
47,43,4,7,1
63,23,3,7,1
53,27,5,5,0
61,32,6,1,0
40,29,3,9,0
50,42,3,9,1
36,24,2,8,0
42,30,5,5,0
51,26,6,3,0
57,34,1,8,1
36,19,1,1,0
44,16,3,3,0
62,24,3,7,1
50,15,4,4,1
40,21,5,7,0
62,40,6,5,0
36,31,3,6,0
36,30,4,7,0
60,41,5,10,0
47,41,6,7,0
58,38,1,7,1
49,17,4,7,1
62,28,5,7,0
36,24,4,3,0
41,36,3,3,0
37,21,2,7,0
42,40,1,2,0
57,31,3,2,1
48,44,3,3,1
58,20,5,4,0
64,37,4,6,1
57,36,1,8,1
61,18,3,10,1
56,31,5,10,0
63,41,1,7,1
41,23,4,4,0
55,18,3,2,1
41,21,6,2,0
35,37,3,4,0
51,16,3,6,1
43,31,1,3,0
64,38,1,6,1
55,22,1,5,1
47,37,1,5,1
55,44,5,2,0
53,29,2,8,1
55,29,5,5,0
53,22,3,2,1
59,30,5,7,0
59,33,4,9,1
56,25,6,9,0
51,16,1,1,1
57,37,4,7,1
57,38,6,9,0
64,31,4,6,1
44,42,3,1,0
44,40,1,2,0
38,30,4,4,0
42,39,3,4,0
56,29,1,2,2
54,27,2,8,1
54,29,3,2,1
52,41,5,3,0
48,18,1,4,1
52,30,4,9,1
62,44,6,10,0
48,26,4,1,1
54,44,5,8,0
55,18,5,5,0
58,17,4,7,1
49,36,6,8,0
56,31,1,5,1
64,36,3,8,1
38,32,5,10,0
47,39,5,8,0
61,32,5,9,0
57,37,6,2,0
42,42,2,3,0
52,31,6,1,0
46,26,1,4,1
57,37,1,5,1
48,35,1,1,1
36,38,1,8,0
52,18,1,2,1
58,26,4,1,1
36,40,5,2,0
45,37,6,5,0
43,36,4,9,0
46,35,6,9,0
51,34,2,2,1
49,29,3,2,1
59,37,5,3,0
51,42,2,7,1
60,30,4,3,1
63,19,3,1,1
60,35,2,6,1
52,29,6,3,0
56,31,3,1,1
40,32,6,4,0
51,19,2,1,1
57,27,4,1,1
58,33,6,2,0
52,44,3,10,1
42,27,2,8,0
43,32,6,2,0
40,28,4,2,0
39,44,5,10,0
46,18,4,10,1
59,18,4,8,1
63,34,5,6,0
62,34,4,4,1
45,33,5,3,0
59,27,5,1,0
35,26,6,3,0
45,21,6,9,0
53,39,5,5,0
43,26,2,6,0
61,35,3,5,1
36,18,2,1,0
46,41,5,10,0
38,16,3,1,0
38,16,6,4,0
52,19,3,3,1
49,37,5,8,0
53,24,6,7,0
47,24,3,7,1
53,23,3,8,1
51,27,2,10,1
40,21,3,7,0
50,19,5,10,0
58,40,1,2,2
46,24,1,4,1
53,24,1,6,1
39,20,5,3,0
51,41,1,3,1
60,42,2,6,1
57,33,5,1,0
60,35,6,1,0
63,22,5,5,0
35,15,5,1,0
62,42,3,10,1
61,31,3,8,1
59,21,3,2,1
58,28,4,6,1
57,35,2,10,1
44,44,5,10,0
49,35,5,5,0
57,31,3,10,1
55,23,5,4,0
55,31,6,1,0
45,19,5,3,0
47,40,1,4,1
39,39,6,2,0
35,44,6,2,0
58,34,5,2,0
46,43,4,1,1
45,22,3,10,0
51,20,2,2,1
38,25,2,6,0
49,33,1,3,1
59,18,2,10,1
64,32,2,5,1
43,15,3,1,0
55,27,3,8,1
54,28,4,4,1
53,38,1,9,1
53,15,2,4,1
46,44,4,2,1
39,43,1,3,0
44,25,6,5,0
51,31,2,10,1
39,18,2,6,0
56,40,3,7,1
50,26,5,4,0
41,24,1,7,0
62,20,2,10,1
43,39,1,3,0
37,15,4,7,0
49,21,4,4,1
50,40,5,8,0
52,41,2,9,1
48,35,3,7,1
37,42,2,8,0
46,30,1,8,1
43,38,6,2,0
62,28,4,9,1
41,37,1,6,0
43,34,5,4,0
47,34,4,5,1
52,20,3,10,1
39,36,4,5,0
47,39,6,7,0
38,42,2,9,0
36,19,6,7,0
50,38,6,9,0
43,35,2,4,0
43,32,4,10,0
40,29,5,10,0
45,20,2,4,0
56,39,2,6,1
58,43,3,8,1
56,33,4,9,1
35,15,2,1,0
38,15,5,1,0
47,27,1,8,1
57,17,4,7,1
47,24,3,9,1
47,35,6,3,0
36,17,2,10,0
43,23,5,5,0
58,22,4,3,1
42,17,5,5,0
41,39,5,10,0
38,27,6,1,0
52,20,3,4,1
37,27,4,6,0
62,37,2,2,2
40,34,3,7,0
46,34,2,8,1
46,26,1,1,1
55,27,5,4,0
62,16,1,4,2
42,35,5,5,0
56,38,6,4,0
56,37,3,9,1
35,30,2,7,0
38,37,6,2,0
55,20,2,1,1
62,33,3,9,1
45,35,4,1,0
37,27,1,6,0
47,31,1,2,1
59,37,2,4,2
51,23,2,6,1
56,31,2,5,1
56,43,3,6,1
44,16,4,3,0
55,33,1,5,1
46,33,6,2,0
49,38,5,7,0
55,21,3,3,1
44,36,1,1,0
48,24,4,8,1
47,24,3,8,1
39,41,6,3,0
40,34,1,7,0
58,23,3,9,1
36,31,1,8,0
56,41,1,3,2
51,29,4,2,1
38,16,5,10,0
48,44,4,7,1
44,18,1,7,0
37,33,3,9,0
59,31,6,5,0
37,19,4,4,0
49,21,5,8,0
40,32,1,4,0
51,35,6,4,0
46,36,4,2,1
56,41,4,1,1
54,21,4,4,1
58,31,4,7,1
63,21,6,9,0
45,18,3,9,0
59,22,5,10,0
38,27,5,1,0
60,18,1,5,1
62,20,2,7,1
60,39,3,7,1
40,19,1,10,0
35,44,1,6,0
54,26,4,10,1
57,18,2,4,2
62,38,2,3,2
50,43,3,9,1
49,23,2,10,1
51,18,1,4,1
42,33,2,8,0
62,38,2,1,2
60,28,5,7,0
46,19,1,6,1
61,32,6,1,0
56,24,2,4,2
55,39,2,5,1
44,33,4,8,0
61,26,2,4,2
49,32,2,3,1
64,31,5,2,0
43,44,1,4,0
36,38,3,10,0
39,25,1,4,0
40,17,4,10,0
41,37,1,5,0
55,31,2,7,1
59,15,4,9,1
35,29,1,2,0
57,42,4,5,1
60,23,3,10,1
41,29,1,9,0
54,42,6,3,0
59,38,2,1,2
64,42,4,2,1
46,43,6,6,0
50,17,6,5,0
50,36,5,1,0
45,41,4,1,0
55,33,6,4,0
38,27,5,4,0
47,26,6,6,0
41,34,2,6,0
38,15,3,10,0
49,35,5,6,0
53,31,3,1,1
43,27,4,10,0
45,15,2,9,0
42,24,5,7,0
35,29,4,7,0
57,41,6,7,0
59,41,1,2,2
58,44,4,2,1
42,21,3,6,0
47,42,2,7,1
56,36,2,3,2
61,32,4,4,1
38,30,6,3,0
42,28,1,7,0
37,41,3,7,0
63,42,4,4,1
43,32,4,7,0
63,41,2,5,1
36,21,3,1,0
36,31,1,10,0
62,43,2,4,2
47,32,4,7,1
49,26,2,2,1
62,22,2,2,2
57,36,5,1,0
46,44,2,2,1
60,16,6,10,0
38,21,2,8,0
60,18,6,8,0
42,32,3,8,0
43,42,2,1,0
57,20,1,1,2
39,41,6,10,0
58,23,6,4,0
54,41,4,6,1
52,23,3,8,1
45,28,2,2,0
49,22,1,3,1
62,33,4,6,1
56,17,3,10,1
43,32,6,4,0
51,19,1,2,1
61,28,2,7,1
60,42,5,4,0
46,44,5,8,0
41,18,3,8,0
44,21,1,7,0
59,34,4,10,1
60,39,1,9,1
